Topic,Count,Name,Representation,Representative_Docs
-1,42,-1_people_live_crime_door,"['people', 'live', 'crime', 'door', 'materials', 'scary', 'neighbors', 'man', 'neighborhood', 'house']","[""stray dogs have attacked my dogs and me. intoxicated people have broken into houses because they think it's their place. there are many drunk drivers in portales and lots of human trafficking."", 'the reasons for an unsafe home could include: poor building materials, a lack of security features such as locks and alarms, damaged foundations, aging electrical wiring, insufficient insulation, presence of hazardous materials, and improper use of hazardous materials.', ""my neighborhood has a lot of crime and homeless people.  our house only has basic door locks to keep people from breaking in; we've had our car broken into, strangers come into our yard, and once had to call the police to remove someone who climbed onto our roof and wouldn't leave.""]"
0,20,0_members_landlord_housing_unsafe,"['members', 'landlord', 'housing', 'unsafe', 'family', 'care', 'family members', 'household', 'felt unsafe', 'rent']","['before moving in august 2022, i was living in an unsafe situation with abusive family members. however, since then i have lived on my own.', 'impending divorce from an alcoholic but housing costs make it difficult to leave and support myself and kids on one income', 'stepson was violent and acted out. he threatened and assaulted household members. police were called multiple times to remove him. had to go to court to evict him.']"
1,17,1_domestic_partner_domestic violence_hostility,"['domestic', 'partner', 'domestic violence', 'hostility', 'relationship', 'spouse', 'unpredictable', 'violence', 'husband', 'abuse']","['domestic violence incident', 'domestic violence', 'domestic violence']"
2,15,2_high_area_people_neighborhood,"['high', 'area', 'people', 'neighborhood', 'crime', 'lived', 'apartment', 'traffic', 'break ins', 'strange people']","['drug dealer in the neighborhood often brings high activity of guests that pose a threat to the rest of the area. high property crime, gun violence', 'we lived in albuquerque for 13 years. i began to feel unsafe because of the drugs and homeless population that were coming into our neighborhood. i felt like i had to be carful for needles and people on drugs that may harm me.', 'multiple attempted break ins, drug dealers, neighbors having strange people around, violent & mentally ill living in the area. i had a stalker at one point']"
3,15,3_violence_gun_shootings_feel,"['violence', 'gun', 'shootings', 'feel', 'houses vehicles', 'shots', 'vehicles', 'neighbor', 'neighborhood', 'street']","['multiple houses and vehicles on my street (including mine) have been targeted. broken windows, smashed cars, bullet holes in houses and vehicles', 'at the apartment complex i used to live at, there were frequent shootings. any measures taken by the property owners were ineffective, and seemed to be the bare minimum so that it at least appeared they were trying.', ""i often feel scared in abq about the random violence and the prevalence of guns and gun violence. i feel even more afraid for my kids. i don't feel very safe on campus either because of the violence happening all around it..""]"
4,12,4_junk food_junk_food_food junk,"['junk food', 'junk', 'food', 'food junk', 'inflation family', 'inflation', 'inconvenience junk', 'inconvenience', 'husbandy inflation', 'husbandy']","['hjkh', 'my family. my ex.', ""there's too much junk food\n\nthere's too much junk food""]"
5,8,5_backup_wildfires fires_electricity_hermits,"['backup', 'wildfires fires', 'electricity', 'hermits', 'canyon frozen', 'evacuated', 'winter weather', 'half', 'half mile', 'winter']","['because of the hermits peak/calf canyon fire', 'wildfire came within a half mile of my home.', 'gas and electricity shut off during winter weather.']"
6,8,6_fear_feeling_safe_feel,"['fear', 'feeling', 'safe', 'feel', 'unsafe', 'thieves feeling', 'warning', 'unsafe mental', 'safe doesn', 'hierarchy']","['fear of being driven away at any moment.', ""feeling unsafe and mental health. in maslow's hierarchy of needs feeling safe is ranked second only to food, water, and air â€“ it is an essential"", ""that i feel safe doesn't make me feel unsafe""]"
