Topic,Count,Name,Representation,Representative_Docs
-1,14,-1_no_food_called_trying,"['no', 'food', 'called', 'trying', 'mental health', 'health', 'bedroom', 'window', 'mental', 'going']","['la razon por que no tenia dinero pra pagar los servicios de luz agua y gas', 'por los altos costos no tener suficiente dinero para calentar mi hogar ya que el gas y los servicios bãsicos subieron mucho y no se puede completar para todo', 'feeling unsafe and mental health in maslows hierarchy of needs feeling safe is ranked second only to food water and air â it is an essential']"
0,56,0_people_apartment_crime_live,"['people', 'apartment', 'crime', 'live', 'house', 'gun', 'break', 'home', 'no', 'drug']","['my neighborhood has a lot of crime and homeless people our house only has basic door locks to keep people from breaking in we have had our car broken into strangers come into our yard and once had to call the police to remove someone who climbed onto our roof and would not leave', 'i live off a busy street and often hear domestic disputes and violent situations outside of my apartment i have been woken up by gun shots and screaming shouting cars racing off etc and right outside my apartment is a house that has 2 pitbulls that snarl and bark at me when i walk outside and if there was ever a break in the fence i worry that they will attack me', 'the place i live in offers the cheapest rent but it is not meant for normal people to live in the water goes out from time to time and i keep a large jug in case the doors and windows do not really lock properly i also live next to the walmart and shelter so there are always transients wandering by my place i had to recently pack all of my things into my truck and park it at the university when a person smoking meth threatened to break into my home and steal my things to protect myself from theft i try to not bring any valueables to my apartment']"
1,40,1_family_moved_unsafe_domestic,"['family', 'moved', 'unsafe', 'domestic', 'living', 'violence', 'partner', 'want', 'afford', 'food']","['i was living with a family member who is unpredictable and untrustworthy', 'family issues with my household made it unsafe', 'felt unsafe with partner could not afford to move out alone so moved in with family']"
2,12,2_crime_mile_know_coming,"['crime', 'mile', 'know', 'coming', 'came', 'no', 'home', '', '', '']","['crime', 'we never know what is coming', 'wildfire came within a half mile of my home']"
