Topic,Count,Name,Representation,Representative_Docs
23,15,23_expensive campus_nutritious_nutritious meal_snacks,"['expensive campus', 'nutritious', 'nutritious meal', 'snacks', 'unm', 'thing', 'small', 'meal campus', 'cost nutritious', 'food expensive campus']","['getting affordable food on campus is not an option the costs of food found at the markets and mercado have an exorbitant markup unm should be ashamed of the quality of the food found at them since it is mostly junk food', 'there are no nutritious meal on campus a lot of high calorie foods a lot of sugar drinks on campus no healthy drinks i order a breakfast burrito from a food truck one time cost me 17', 'i put 0 to 5 dollars as the cost of a nutritious meal on campus but the reality is that there is no such thing as a nutritious meal option on our campus we currently do not have a cafeteria on campus so the only food options are snacks from vending machines and the bookstore these snacks just small snacks and not meals they are also highly processed foods so if anyone wants to eat something nutritious they must either bring it from home or eat off campus when we did have a small cafeteria on campus there were not as many cheaper options on the menu prices were not too high but there was not a variety of differently priced options for whole meals that were not snacks or sides there were also not very many nutritious options or options for people with dietary restrictions they were also not consistent with their hours so sometimes people would come in that morning but would not be able to have breakfast because it was closed this happened to me once before as well that being said that food vendor is no longer on campus however we have just started up a food pantry so students will at least have some more options of obtaining food this is a good thing and i am happy that this change was implemented and it bodes well for our future we started a community garden as well so as that grows there should not only be more food availability on campus but also more nutritious options overall i think we are improving a little in the area of food availability']"
24,15,24_nearly_food available just_buy_cheese,"['nearly', 'food available just', 'buy', 'cheese', 'food items', 'available just', 'afford', 'expensive', 'buy food', 'make']","['the food trucks available so not usually offer healthy and affordable food items although they have filled me they were not as healthy as i would want should i be able to afford it', 'while food is available it is just too expensive i would rather spend the money on my kids ramen noodles or soup is sufficient for me to eat for lunch', 'food is available i just cannot afford to pay nearly 7 for a serving of rice when i could buy a bag of rice and make many portions for much less either way i am still only eating rice']"
25,15,25_good good_good_avai_thoughts,"['good good', 'good', 'avai', 'thoughts', 'fair', 'great', 'ok', '', '', '']","['good', 'good', 'good']"
26,14,26_sub_la_posada_options sub,"['sub', 'la', 'posada', 'options sub', 'la posada', 'anymore', 'eat anymore', 'food options sub', 'never eat', 'never']","['it is kind of far from me i prefer to drive to restaurants near by i like the food options at the sub and la posada', 'i was saddened by the closure of the la montanita coop location in the unm bookstore i felt that they carried the most overall nutritious least processed and most flavorful options sometimes for a decent price some of their items were expensive though there are still some nutritious options in the sub or at other retail locations or at la posada but much of what is sold in the sub is heavily processed and can also be costly', 'la posada provides a huge selection for a fair price there are plenty of fast food options in the sub']"
27,14,27_limited hours_no food availability_hours_availability no,"['limited hours', 'no food availability', 'hours', 'availability no', 'food availability', 'limited', 'availability', 'food limited', 'run food', 'food food']","['limited types of food and limited hours', 'no food availability no affordable food availability', 'only one source of food with limited hours they also run out of food daily so decent options are not available']"
28,13,28_no_la_mesa_snacks,"['no', 'la', 'mesa', 'snacks', 'cafeteria', 'campus', '', '', '', '']","['esta bien porque algunos estudiantes no tienen tiempo de comer en su casa', 'no creo que venden comida nutritiva', 'no hay tal servicio']"
29,12,29_eat campus_eat_eat campus often_campus often,"['eat campus', 'eat', 'eat campus often', 'campus often', 'campus eat campus', 'campus eat', 'bring food', 'bring', 'often', 'home']","['i do not eat on campus', 'i do not eat on campus very often i typically bring food with me or eat off campus', 'i do not eat at campus that often']"
30,12,30_expensive expensive_expensive_expensive expensive expensive_prohibitive,"['expensive expensive', 'expensive', 'expensive expensive expensive', 'prohibitive', 'financially', 'expensive cost prohibitive', 'expensive affordable expensive', 'expensive affordable', 'cost prohibitive', 'affordable expensive']","['too expensive', 'it is too expensive', 'to expensive']"
31,11,31_no food_work_monday_buying,"['no food', 'work', 'monday', 'buying', 'south campus', 'food allergies', 'south', 'allergies', 'work campus', 'campus no food']","['i can afford buying food from the cafeteria but not everyone can so they do not i do not work on campus fridays but staff does and they are closed not many healthy options on campus', 'my employment position is not on main campus there are no food options available on unm south campus', 'as someone with food allergies and making low wages i cannot buy or afford any of the food on campus i pack everything i also work south of campus and there are no food services nearby']"
32,11,32_wish_nutritious options_carb_healthy ones,"['wish', 'nutritious options', 'carb', 'healthy ones', 'fat', 'options wish', 'diet', 'ones', 'salads', 'healthy']","['i wish the little convenience store in the sub was not the only place to buy healthy meals and i wish it was a little more cost effective one tuna sandwich cost 11 and that is not balanced i still need to purchase veggies and a drink', 'there are way more non nutritious options than healthy ones salads get boring there are a lot of high carb high fat foods', 'there is a lack of healthy food options at the sub and the limited healthy options are offered next to foods that are higher in fat and calories ie tastier foods']"
33,10,33_cafeteria_cafeteria does_time_healthy food,"['cafeteria', 'cafeteria does', 'time', 'healthy food', 'does', 'healthy', 'little healthy', 'selection food', 'center does', 'fairly nutritious']","['the cafeteria does not have a large selection of food not to mention very healthy food', 'our cafeteria is only open certain hours and there are not many healthy affordable options', 'there is a cafeteria that does not offer many healthy alternatives outside of a salad bar especially not food sensitive options']"
34,10,34_scarce_limited_itâs_limited limited,"['scarce', 'limited', 'itâs', 'limited limited', 'cost going', 'works', 'fair', 'best', 'going', 'cost']","['fair to scarce', 'scarce', 'scarce but it works']"
35,10,35_limited limited_limited_nonexistent_,"['limited limited', 'limited', 'nonexistent', '', '', '', '', '', '', '']","['very limited', 'limited', 'limited']"
36,9,36_serve_purchase_kitchen_place purchase,"['serve', 'purchase', 'kitchen', 'place purchase', 'campus kitchen', 'college', 'break', 'closed', 'cash', 'sometimes']","['the unm gallup campus does not have a good place to purchase food and their hours of operation are short and sometimes they do not serve to the campus community', 'we have a campus kitchen that is only open from 8a130p we cannot order food during breakfast and lunch rush due to the kitchen serving the high school students so we have to wait usually lunch break is same time so does not work out its also cash only and sometimes they do not have change to break your cash limited menu no salad no fruit', 'the college has limited hours and offerings for meals on our campus sometimes you can purchase a healthy meal when east wing eatery is open their students are learning to prepare healthy meals and work with produce from our greenhouse but the budget and staffing only offers limited hours about 4 days a week our cafeteria is still closed the coffee shop operated by a private vendor with some burritos has closed many times no food is available on campus the college is not in walking distance to places where you could purchase food so you have to bring food from home if you get hungry after 2 pm then usually nothing is available to purchase on campus']"
37,9,37_bring lunch_lunch_main campus food_bring,"['bring lunch', 'lunch', 'main campus food', 'bring', 'pack lunch', 'pack', 'main campus', 'main', 'glutenfree', 'choices limited']","['there is a variety of food available on campus but all at a cost much more cost effective to bring my own lunch', 'i tend to pack my own lunch have only eaten on campus 1 or 2 times in my 10 years here it is too expensive to eat out and i like to know where my food comes from', 'main campus food choices are limited and not very healthy the prices are too high so i bring lunch most of the time']"
38,9,38_affordable options_affordable_cost food_items,"['affordable options', 'affordable', 'cost food', 'items', 'foods', 'expensive', 'low cost', 'chicken', 'need affordable', 'finding']","['it is too expensive we have 10 burritos and not enough healthy affordable options virtually no sugarfree options', 'we need better nutritious affordable options bring back the salads with chicken breast for 675 or 825 with inflation', 'we need more affordable options with a focus on nutrition the affordable options are typically processed foods chips candy frozen items etc']"
39,9,39_needs available_options local_selection food_food sold,"['needs available', 'options local', 'selection food', 'food sold', 'food nutritious', 'meet', 'milk', 'local restaurants', 'needs better', 'fresh vegetables']","['there have been large cutbacks or places just did not come back after covid also most things are not made there so they are not fresh', 'some of the food options are of local restaurants so the food sold are not regulated to be healthy or to meet food pyramid', 'selections are limited and not always freshlike fresh vegetables special dietary needs are not available nondairy no gluten etc times available are not enoughneeds to be available more hours']"
40,9,40_work_lunch dinner_dinner_generally,"['work', 'lunch dinner', 'dinner', 'generally', 'bit', 'okay', 'did', 'lack', 'decent', 'building']","['it is terrible and everyone faculty staff students etc should have access to properly prepared nutrient dense whole food meals for breakfast lunch and dinner i am at the westside cnm location', 'it is great but i cannot eat on campus every day for both lunch and dinner i should be able to have choices and other options for healthy food other than my place of work again this is more of an issue of rent being wayyy to high and jobs not paying enough there is no lack of access to healthy food', 'okay to decent unfortunately i work up in the educational services building which has nothing but a poorly stocked snack machine that is generally cash only nmsu needs to work on addressing the lack of food options on this end of campus']"
41,8,41_na_no__,"['na', 'no', '', '', '', '', '', '', '', '']","['no', 'na', 'na']"
42,8,42_meal plan_plan_meal_decent food,"['meal plan', 'plan', 'meal', 'decent food', 'great cost', 'home limited', 'food really', 'variety quality', 'without meal', 'options never']","['i am not terribly familiar with their options since i almost never eat there but i think the variety and quality is usually adequate', 'honestly it is a great cost savings to meal plan and bring in my own food so i have not really explored the offerings due to cost i very rarely eat out', 'i wish we had more options but there are some okay options although the price is kind of high without a meal plan']"
