Topic,Count,Name,Representation,Representative_Docs
-1,33,-1_unsafe_living_man_lack,"['unsafe', 'living', 'man', 'lack', 'poor', 'house', 'street', 'mold', 'area', 'home']","['because albuquerque and unm campus are full of crime and unsafe situations', 'we moved because we were afraid our landlord was going to sell the house out from under us even though we were trying to buy the house ourselves he was pricing us out and it was very stressful so luckily we were able to find another place we could afford and move to right away', 'the reasons for an unsafe home could include poor building materials a lack of security features such as locks and alarms damaged foundations aging electrical wiring insufficient insulation presence of hazardous materials and improper use of hazardous materials']"
0,24,0_live_afford_house_no,"['live', 'afford', 'house', 'no', 'doors', 'mold', 'lived', 'home', 'black', 'broken']","['i used to live in the war zone the rent went up by 20000 dollars i witnessed a murder and needed to leave for financial and personal safety reasons i had to move in with my cousin until i could find something in my budget i still live there as i cannot afford a decent apartment so i can be asked to leave anytime and become homeless as i cannot afford an apartment', 'i found black mold in every room of my apartment from flooding from the unit above mine they fixed the flooding upstairs but never once contacted me or checked on the damage beyond that there were signs that they had previously painted over mold before i moved in and it gradually grew back through the walls and ceilings i now have several severe chronic illnesses from living in that apartment for 3 years but cannot afford a lawyer i had to live out of my car for some time to escape the black mold doh did not respond to my complaint about the property that i know of', 'the house i rent has rodent problems the foundation is crumbling and the walls and ceiling crack sometimes chunks fall out of the ceiling there are people with substance abuse problems that frequent a house across the street and sometimes they try to get in to my houseothers in the neighborhood there is not affordable housing in silver city as far as rentals go and i cannot afford to buy a home here']"
1,14,1_neighborhood_crime_police_people,"['neighborhood', 'crime', 'police', 'people', 'town', 'gun', 'safe', 'area', 'ill', 'often']","['this albuquerque high crime high violent crime who is safe in this city', 'neighborhood', 'criminals and drug addicts in the neighborhood lack of police protection or the police never respond too much stealing from other poor folks who are just seeking to survive on stolen goods a lot of unemployed people in the neighborhood poorly constructed residential units']"
2,9,2_no___,"['no', '', '', '', '', '', '', '', '', '']","['no comment', 'no comments', 'no']"
3,8,3_mentally_roommate_household_abusive,"['mentally', 'roommate', 'household', 'abusive', 'man', 'afraid', 'abuse', '', '', '']","['my husband was emotionally abusive', 'because my husband is a very angry man and i am afraid of him', 'mentally unstable roommate']"
