Topic,Count,Name,Representation,Representative_Docs
0,205,0_pay_know_good_time,"['pay', 'know', 'good', 'time', 'just', 'want', 'share', 'really', 'raise', 'say']","['i can only pay my bills with the money i earn at unm because my spouse also has a fulltime job at another institution', 'there is a lot of need among our students i have made downpayments for students to secure an apartment given students money for food to pay a phone bill etc i have found that my male students experiencing food house insecurity or homelessness have less support than other students', 'pay your temporary part time employees wages that align with the current state of inflation']"
1,173,1_no_say_want_,"['no', 'say', 'want', '', '', '', '', '', '', '']","['no', 'no', 'no']"
2,19,2_nothing_just_share_raise,"['nothing', 'just', 'share', 'raise', 'time', 'pay', '', '', '', '']","['nothing', 'nothing', 'nothing']"
3,11,3_time_moment_really_good,"['time', 'moment', 'really', 'good', 'know', 'no', '', '', '', '']","['not at this time', 'not at this time', 'not at this time']"
