Topic,Count,Name,Representation,Representative_Docs
0,652,0_work_good_time_doing,"['work', 'good', 'time', 'doing', 'great', 'know', 'sure', 'able', 'no', 'situation']","['pay base faculty better the amount of work put in to keep the university running is constantly growing and the work load continues to get heavier better compensation should be paid', 'we are doing a good job', 'college doing a good job']"
1,42,1_know_sure_donât_unsure,"['know', 'sure', 'donât', 'unsure', 'difficult', 'wish', 'things', 'situation', 'facing', 'ask']","['do not know', 'do not know', 'i do not know']"
2,27,2_nothing_no_knowledge_fine,"['nothing', 'no', 'knowledge', 'fine', 'say', 'half', 'going', 'time', 'great', 'doing']","['nothing', 'nothing', 'nothing']"
3,12,3_no_unsure__,"['no', 'unsure', '', '', '', '', '', '', '', '']","['no', 'no', 'no']"
